"End","Sleep.quality","Time.in.bed","Heart.rate","Steps"
"2016-06-02 08:26:17","93%","8:08",60,2817
"2016-06-03 08:07:19","83%","7:37",66,4328
"2016-06-04 08:26:18","80%","8:07",55,1328
"2016-06-05 08:14:46","81%","7:47",61,1045
"2016-06-06 07:58:58","78%","8:53",58,1314
"2016-06-07 07:56:10","82%","8:32",57,1159
"2016-06-09 08:48:12","100%","9:19",76,5710
"2016-06-10 09:02:26","61%","8:58",77,10150
"2016-06-11 09:01:46","91%","8:47",64,10664
"2016-06-12 08:18:10","79%","7:55",70,9418
"2016-06-14 10:16:21","90%","9:11",70,3314
"2016-07-18 09:27:42","76%","8:25",57,6469
"2016-07-19 09:23:04","69%","7:18",81,12077
"2016-07-21 09:15:00","70%","8:28",57,11317
"2016-07-22 09:06:03","84%","8:33",85,14680
"2016-07-23 07:46:11","73%","6:34",55,10703
"2016-07-24 08:07:24","73%","7:09",61,7381
"2016-07-25 08:00:14","70%","7:24",63,1976
"2016-07-26 08:04:47","77%","8:09",61,11316
"2016-07-27 08:13:50","86%","8:23",59,8206
"2016-07-28 08:04:41","76%","8:36",62,11531
"2016-07-29 07:58:43","97%","8:49",67,8560
"2016-07-30 07:49:47","85%","8:51",98,3411
"2016-07-31 07:41:08","87%","8:13",50,13140
"2016-08-01 07:28:33","89%","8:12",51,13033
"2016-08-02 07:58:53","90%","8:54",58,12141
"2016-08-03 07:58:43","95%","9:19",59,9772
"2016-08-04 07:25:42","88%","7:56",61,6195
"2016-08-05 07:58:46","95%","8:49",56,9163
"2016-08-06 07:32:03","82%","8:16",59,10654
"2016-08-07 07:28:47","86%","8:13",54,13962
"2016-08-08 07:31:25","97%","8:08",59,10112
"2016-08-09 07:43:49","95%","8:59",54,12596
"2016-08-10 07:28:44","90%","8:18",56,10725
"2016-08-11 07:28:50","76%","8:24",56,3456
"2016-08-12 07:18:35","87%","8:32",67,2769
"2016-08-13 07:31:23","96%","8:22",60,5725
"2016-08-14 07:58:51","90%","8:42",54,13221
"2016-08-15 07:59:26","82%","8:05",62,10042
"2016-08-16 07:58:43","89%","8:34",63,4665
"2016-08-17 07:16:18","86%","8:31",54,10007
"2016-08-18 07:43:45","96%","8:46",74,6184
"2016-08-19 08:09:48","60%","6:43",60,15978
"2016-08-20 07:18:20","55%","5:22",52,7397
"2016-08-22 07:14:53","83%","7:49",63,4256
"2016-08-23 07:43:54","79%","8:31",54,24534
"2016-08-24 06:59:51","97%","9:02",49,2341
"2016-08-25 06:50:51","86%","8:27",54,8432
"2016-08-26 06:59:55","91%","9:16",61,3947
"2016-08-29 07:01:14","71%","8:17",62,11211
"2016-08-30 07:31:03","87%","7:58",61,10115
"2016-08-31 07:58:50","81%","8:43",65,9441
"2016-09-02 07:03:47","81%","7:55",66,12140
"2016-09-06 07:58:40","54%","5:52",58,5639
"2016-09-07 07:56:28","90%","9:01",NA,11717
"2016-09-08 07:50:58","67%","8:55",54,4283
"2016-09-09 07:25:19","89%","8:21",69,6350
"2016-09-10 07:58:53","89%","8:52",63,24377
"2016-09-11 07:20:03","90%","8:12",64,8271
"2016-09-12 07:53:14","95%","8:55",68,15174
"2016-09-13 07:49:00","92%","8:43",57,13773
"2016-09-14 06:50:04","90%","7:38",69,4417
"2016-09-15 07:39:03","81%","8:43",71,12691
"2016-09-16 07:52:23","100%","9:08",51,14637
"2016-09-17 07:55:02","81%","8:55",58,12090
"2016-09-18 08:28:12","85%","9:06",65,8085
"2016-09-19 06:50:11","81%","7:27",58,10365
"2016-09-21 07:37:22","84%","7:37",61,8672
"2016-09-22 07:58:18","88%","8:53",55,13343
"2016-09-23 07:07:15","88%","8:06",61,11064
"2016-09-24 07:58:22","94%","8:54",60,9174
"2016-09-25 07:53:20","91%","8:20",59,14187
"2016-09-26 07:49:23","95%","8:50",57,17059
"2016-09-27 07:59:25","91%","8:43",63,8096
"2016-09-28 07:48:12","96%","8:50",56,11961
"2016-09-29 07:53:26","97%","8:46",55,10049
"2016-09-30 07:43:56","98%","8:46",67,9449
"2016-10-01 07:47:34","86%","7:37",55,11929
"2016-10-02 07:40:37","68%","6:10",65,8037
"2016-10-04 07:42:46","98%","8:43",56,16509
"2016-10-05 07:54:29","91%","9:09",55,8349
"2016-10-06 07:59:26","89%","8:55",57,8054
"2016-10-07 07:45:29","100%","9:01",71,4166
"2016-10-08 07:20:04","97%","8:26",61,3563
"2016-10-09 07:53:13","88%","7:13",68,9816
"2016-10-10 08:13:12","72%","7:14",58,10133
"2016-10-11 08:02:34","87%","8:16",56,16500
"2016-10-12 07:59:25","79%","9:20",56,9232
"2016-10-13 07:59:12","100%","9:01",51,9941
"2016-10-14 07:08:42","91%","8:10",56,9838
"2016-10-15 07:55:01","72%","7:56",59,10011
"2016-10-16 08:00:32","78%","8:08",67,11583
"2016-10-17 07:13:33","58%","7:39",62,7536
"2016-10-18 08:04:32","85%","7:26",58,15312
